20
43
None
None
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,6,0,7,8,14,7,7,0,10,8,13,14,0,6,7,7,8,8,10,11,6,8,0,11,11,8,7,7,7,0,13,13,13,13,13,13,13,13,0,6,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
1,6,6,0,8,8,14,7,6,0,9,7,0,8,0,6,0,6,0,6,0,6,0,6,0,12,11,8,8,0,6,0,8,8,8,7,7,7,8,6,0,8,1
1,6,6,0,8,13,7,7,7,0,8,8,0,7,0,13,0,6,0,12,0,6,0,6,0,13,11,0,8,0,6,0,0,0,0,0,0,0,0,0,0,8,1
1,0,0,0,0,0,0,0,0,0,7,14,0,14,0,7,0,6,0,6,0,6,0,14,0,13,10,0,8,0,6,0,6,6,7,8,8,10,11,12,0,8,1
1,14,0,7,7,7,0,8,7,0,7,7,0,6,0,8,0,0,0,0,0,0,0,14,0,13,8,0,7,0,6,0,7,8,9,7,6,7,8,8,0,6,1
1,6,0,8,13,8,0,8,7,0,7,7,0,7,0,8,6,6,6,13,6,6,0,14,0,12,9,0,8,0,6,0,0,0,0,0,0,0,0,0,0,8,1
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,14,13,13,14,12,14,0,0,1
1,14,0,6,6,6,0,7,7,0,8,8,0,6,8,8,6,13,6,7,14,14,14,13,0,10,8,0,14,14,13,13,14,13,14,14,14,13,13,14,0,7,1
1,8,0,0,0,0,0,14,12,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
1,8,0,8,7,7,0,14,14,0,8,8,0,7,7,6,7,8,9,8,8,14,14,14,0,13,6,0,14,14,12,13,13,12,14,13,14,13,14,13,0,7,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,6,14,13,6,0,8,8,7,8,7,0,6,7,8,0,8,0,6,6,0,14,13,0,13,8,0,8,7,0,6,7,0,8,6,0,8,8,0,14,0,1
1,0,7,8,13,8,0,8,8,14,7,7,0,6,8,8,0,8,0,8,6,0,7,13,0,11,8,0,8,7,0,6,7,0,8,7,0,8,6,0,14,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,12,0,10,7,0,8,7,0,6,12,0,8,8,0,7,6,0,14,0,1
1,0,7,6,7,7,0,8,7,7,13,8,0,7,8,7,0,8,0,7,8,0,13,13,0,10,7,0,8,7,0,6,7,0,8,8,0,7,6,0,14,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,8,0,13,13,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
